epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7027,1.51811,1.69191,1.43259,0,0,0,0,nan,nan,nan,0.000657005,0.000657005,0.000657005
2,172.586,1.61637,1.3481,1.48592,0,0,0,0,nan,nan,nan,0.00129746,0.00129746,0.00129746
3,256.16,1.64548,1.34604,1.51481,0.14865,0.02187,0.00679,0.00343,nan,nan,nan,0.00191152,0.00191152,0.00191152
4,345.711,1.59876,1.26599,1.51175,0.42515,0.2167,0.21261,0.09977,2.59976,7.35996,2.80473,0.0018812,0.0018812,0.0018812
5,435.194,1.51636,1.16882,1.44675,0.2383,0.11928,0.08156,0.03618,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,519.256,1.52832,1.16764,1.46227,0.84798,0.69583,0.77913,0.45818,1.55467,1.71364,1.58295,0.001802,0.001802,0.001802
7,606.653,1.48731,1.05966,1.41765,0.79806,0.80318,0.81074,0.46397,1.46844,1.26475,1.46264,0.0017624,0.0017624,0.0017624
8,695.679,1.44973,1.00876,1.37706,0.85377,0.83576,0.88593,0.51812,1.46112,0.98693,1.48133,0.0017228,0.0017228,0.0017228
9,783.455,1.42742,0.99953,1.36142,0.86795,0.771,0.834,0.49947,1.44659,1.05378,1.44654,0.0016832,0.0016832,0.0016832
10,867.636,1.40461,0.97073,1.3619,0.85626,0.82899,0.87552,0.51473,1.42195,0.92743,1.44029,0.0016436,0.0016436,0.0016436
11,950.483,1.37752,0.91313,1.33508,0.92313,0.83565,0.88054,0.52412,1.45664,0.93684,1.46822,0.001604,0.001604,0.001604
12,1037.68,1.39408,0.92102,1.36113,0.92533,0.83101,0.89276,0.53032,1.42739,0.85816,1.43236,0.0015644,0.0015644,0.0015644
13,1125.28,1.35274,0.8929,1.31354,0.95648,0.83013,0.90997,0.54478,1.4071,0.82873,1.42027,0.0015248,0.0015248,0.0015248
14,1213.82,1.36929,0.88759,1.33631,0.92777,0.84266,0.91017,0.54922,1.40313,0.80331,1.42104,0.0014852,0.0014852,0.0014852
15,1301.22,1.33353,0.86094,1.32709,0.93967,0.83599,0.90573,0.55045,1.3784,0.84378,1.39119,0.0014456,0.0014456,0.0014456
16,1390.31,1.34662,0.83359,1.31653,0.94982,0.83897,0.91899,0.5719,1.36314,0.78073,1.37646,0.001406,0.001406,0.001406
17,1480.84,1.32042,0.84848,1.30038,0.94936,0.82704,0.90276,0.55042,1.40332,0.80453,1.38646,0.0013664,0.0013664,0.0013664
18,1566.16,1.28881,0.79581,1.28023,0.93598,0.86282,0.93512,0.59099,1.34633,0.70937,1.36432,0.0013268,0.0013268,0.0013268
19,1653.65,1.29509,0.78857,1.28836,0.9465,0.86481,0.92163,0.58186,1.3581,0.7575,1.36886,0.0012872,0.0012872,0.0012872
20,1737.76,1.29899,0.79627,1.3018,0.94788,0.86771,0.92594,0.57424,1.36058,0.71093,1.38557,0.0012476,0.0012476,0.0012476
21,1820.26,1.27951,0.79027,1.27899,0.94909,0.85089,0.91247,0.56841,1.35298,0.89106,1.37326,0.001208,0.001208,0.001208
22,1904.33,1.27114,0.76812,1.27753,0.93337,0.85288,0.91606,0.57591,1.33583,0.75587,1.36925,0.0011684,0.0011684,0.0011684
23,1986.95,1.27803,0.77479,1.27936,0.93457,0.86481,0.93126,0.58304,1.34726,0.69875,1.37183,0.0011288,0.0011288,0.0011288
24,2070.44,1.26141,0.74974,1.26839,0.95419,0.86962,0.94039,0.58587,1.34886,0.6616,1.33987,0.0010892,0.0010892,0.0010892
25,2153.08,1.26322,0.73637,1.27498,0.94126,0.88469,0.93797,0.57842,1.34623,0.73264,1.35067,0.0010496,0.0010496,0.0010496
26,2236.42,1.2473,0.7153,1.26043,0.95521,0.88469,0.94746,0.59507,1.31368,0.66509,1.33965,0.00101,0.00101,0.00101
27,2325.19,1.25793,0.72337,1.26891,0.95654,0.86879,0.93511,0.58782,1.31986,0.68705,1.34785,0.0009704,0.0009704,0.0009704
28,2409.58,1.22577,0.70634,1.24317,0.96402,0.85487,0.93714,0.59847,1.31881,0.69269,1.3441,0.0009308,0.0009308,0.0009308
29,2492.81,1.22435,0.69014,1.24021,0.93933,0.88469,0.94652,0.61043,1.29828,0.63225,1.32367,0.0008912,0.0008912,0.0008912
30,2582.37,1.21241,0.69406,1.22423,0.95891,0.88469,0.95332,0.61504,1.29249,0.63789,1.32867,0.0008516,0.0008516,0.0008516
31,2669.82,1.21653,0.68375,1.24496,0.96121,0.88678,0.95744,0.61382,1.2965,0.61284,1.31889,0.000812,0.000812,0.000812
32,2754.3,1.23016,0.69978,1.23739,0.94324,0.89196,0.95041,0.61178,1.27776,0.63951,1.31898,0.0007724,0.0007724,0.0007724
33,2837.08,1.20255,0.651,1.22892,0.97137,0.87873,0.94321,0.60218,1.29595,0.6533,1.32808,0.0007328,0.0007328,0.0007328
34,2921.08,1.18132,0.65322,1.22041,0.96141,0.89161,0.95158,0.60097,1.29951,0.6596,1.32043,0.0006932,0.0006932,0.0006932
35,3004.13,1.18865,0.65566,1.22789,0.94481,0.8509,0.93168,0.55945,1.39509,0.68371,1.40409,0.0006536,0.0006536,0.0006536
36,3087.78,1.18479,0.65555,1.21332,0.94153,0.90656,0.95918,0.61551,1.28919,0.58422,1.31906,0.000614,0.000614,0.000614
37,3173.63,1.19901,0.64199,1.22015,0.96167,0.88668,0.94792,0.60235,1.30905,0.60809,1.33285,0.0005744,0.0005744,0.0005744
38,3257.06,1.17451,0.62816,1.20582,0.97185,0.89234,0.95695,0.61806,1.28218,0.59096,1.30475,0.0005348,0.0005348,0.0005348
39,3345.5,1.18219,0.62527,1.21799,0.97598,0.88862,0.96249,0.6215,1.2942,0.56296,1.30361,0.0004952,0.0004952,0.0004952
40,3434.88,1.14257,0.6129,1.19068,0.95576,0.90196,0.96076,0.61852,1.28625,0.57897,1.30944,0.0004556,0.0004556,0.0004556
41,3519.89,1.14079,0.54378,1.23465,0.97915,0.89463,0.95772,0.62293,1.26451,0.56058,1.29733,0.000416,0.000416,0.000416
42,3609.25,1.12677,0.53189,1.21705,0.96502,0.89662,0.96136,0.62595,1.25905,0.56504,1.29738,0.0003764,0.0003764,0.0003764
43,3698.04,1.11599,0.52311,1.21441,0.98419,0.88867,0.958,0.62762,1.26662,0.56553,1.30002,0.0003368,0.0003368,0.0003368
44,3787.18,1.12641,0.52796,1.21995,0.97822,0.89313,0.96125,0.62218,1.25391,0.55476,1.2918,0.0002972,0.0002972,0.0002972
45,3870.49,1.10707,0.517,1.20203,0.98427,0.89662,0.96511,0.62903,1.26642,0.53822,1.29603,0.0002576,0.0002576,0.0002576
46,3959.39,1.07958,0.48846,1.18556,0.97625,0.89891,0.96387,0.62637,1.26134,0.54322,1.28825,0.000218,0.000218,0.000218
47,4042.69,1.08284,0.48328,1.17936,0.97835,0.89828,0.96521,0.63136,1.25694,0.55319,1.29064,0.0001784,0.0001784,0.0001784
48,4130.95,1.08312,0.48997,1.18198,0.96761,0.91054,0.96665,0.63363,1.2422,0.52441,1.27832,0.0001388,0.0001388,0.0001388
49,4216.38,1.07157,0.49166,1.18269,0.96724,0.91054,0.96641,0.63451,1.24368,0.51878,1.27325,9.92e-05,9.92e-05,9.92e-05
50,4305.21,1.05755,0.47276,1.16592,0.97248,0.90258,0.96513,0.63341,1.23913,0.5145,1.27281,5.96e-05,5.96e-05,5.96e-05
