epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6882,1.12729,0.59982,1.18358,0.96234,0.86366,0.9346,0.59704,1.31251,0.64417,1.34865,0.000657005,0.000657005,0.000657005
2,170.183,1.18649,0.65311,1.21484,0.93094,0.84493,0.91267,0.57103,1.34514,0.72911,1.42221,0.00125815,0.00125815,0.00125815
3,255.79,1.23758,0.72854,1.25682,0.93026,0.85089,0.90877,0.5565,1.37685,0.88149,1.38828,0.00179329,0.00179329,0.00179329
4,340.975,1.2579,0.73998,1.27229,0.89662,0.82704,0.87822,0.53892,1.39444,0.84978,1.42056,0.001703,0.001703,0.001703
5,424.83,1.23322,0.732,1.25704,0.95235,0.82903,0.89668,0.55102,1.37665,0.87935,1.39992,0.001604,0.001604,0.001604
6,509.436,1.24175,0.7285,1.26351,0.96142,0.84234,0.92442,0.56807,1.36066,0.69917,1.35997,0.001505,0.001505,0.001505
7,594.281,1.2367,0.71186,1.25855,0.94555,0.86282,0.91946,0.57957,1.35037,0.76915,1.35499,0.001406,0.001406,0.001406
8,678.748,1.2133,0.68906,1.23383,0.95811,0.89662,0.94293,0.59828,1.29839,0.63376,1.32113,0.001307,0.001307,0.001307
9,767.368,1.22414,0.68404,1.23743,0.96875,0.86274,0.94011,0.59551,1.32481,0.61839,1.33538,0.001208,0.001208,0.001208
10,854.009,1.18907,0.6739,1.22704,0.95142,0.89555,0.95413,0.58806,1.33642,0.64341,1.34241,0.001109,0.001109,0.001109
11,941.351,1.19491,0.60326,1.26134,0.95618,0.84294,0.92798,0.57999,1.36441,0.66804,1.36513,0.00101,0.00101,0.00101
12,1027.07,1.19239,0.58975,1.26229,0.96664,0.89066,0.95457,0.61137,1.2944,0.61817,1.34628,0.000911,0.000911,0.000911
13,1116.18,1.15729,0.56371,1.24049,0.95624,0.90457,0.96103,0.60283,1.2977,0.59342,1.33647,0.000812,0.000812,0.000812
14,1201.53,1.14637,0.5577,1.24066,0.9598,0.90184,0.95978,0.60976,1.30024,0.57157,1.32605,0.000713,0.000713,0.000713
15,1290.2,1.11743,0.53976,1.20983,0.95603,0.91054,0.96121,0.62673,1.27073,0.55586,1.30611,0.000614,0.000614,0.000614
16,1380.58,1.1134,0.52021,1.20536,0.97206,0.89066,0.96172,0.63181,1.25886,0.53388,1.29235,0.000515,0.000515,0.000515
17,1469.42,1.10622,0.50287,1.20888,0.96732,0.91054,0.96621,0.63122,1.25869,0.5343,1.2931,0.000416,0.000416,0.000416
18,1556.12,1.07563,0.49689,1.17941,0.96925,0.9165,0.96742,0.64045,1.2335,0.51689,1.26816,0.000317,0.000317,0.000317
19,1644.82,1.08616,0.48585,1.1803,0.96015,0.91023,0.96407,0.63717,1.23402,0.51427,1.28032,0.000218,0.000218,0.000218
20,1729.83,1.0557,0.47748,1.17874,0.96998,0.91451,0.9662,0.63957,1.22883,0.51472,1.2804,0.000119,0.000119,0.000119
